Sample ,Plant #,Sample,Day,Sample ID,content (ng/mg),Notes,,,Root,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
S-31,33,Shoot,60,       +M +E,1.46,60,       +M +E,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
S-32,34,Shoot,60,       +M +E,1.31,60,       +M +E,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,
S-33,35,Shoot,60,       +M +E,4.49,60,       +M +E,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,
S-34,36,Shoot,60,       +M +E,2.69,60,       +M +E,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,
S-35,37,Shoot,60,       +M +E,1.34,60,       +M +E,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
S-36,38,Shoot,60,       +M +E,0.71,60,       +M +E,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,
S-37,1,Shoot,40,       -M +E,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-38,2,Shoot,40,       -M +E,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-39,3,Shoot,40,       -M +E,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-40,4,Shoot,40,       -M +E,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-41,5,Shoot,40,       -M +E,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-42,6,Shoot,40,       -M +E,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-43,7,Shoot,40,       -M +E,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-44,8,Shoot,40,       -M +E,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-45,9,Shoot,40,       -M +E,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-46,10,Shoot,40,       -M +E,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-47,11,Shoot,40,       -M +E,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-48,12,Shoot,40,       -M +E,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-49,14,Shoot,50,       -M +E,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-50,15,Shoot,50,       -M +E,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-51,16,Shoot,50,       -M +E,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-52,17,Shoot,50,       -M +E,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-53,18,Shoot,50,       -M +E,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-54,19,Shoot,50,       -M +E,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
