Plant Group,Plant Number,Sampling Day ,Height (cm),Shoot weight (g),Root weight (g),Grain weight,Total biomass(g),chlorophyll content(fv/fm),Flowering?,R/S Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,33,60,69.1,3.845,0.898,2.361,7.104,0.80,Y,0.233550065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,34,60,77.0,3.682,0.715,2.173,6.57,0.71,Y,0.194187941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,35,60,71.2,3.093,0.818,2.536,6.447,0.81,Y,0.264468154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,36,60,65.2,4.266,0.706,1.719,6.691,0.80,Y,0.165494609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,37,60,71.4,2.805,0.567,2.505,5.877,0.79,Y,0.202139037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,38,60,69.4,3.825,1.012,2.425,7.262,0.82,Y,0.264575163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,39,60,68.6,,,,,0.83,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,1,40,61.2,1.071,0.319,,1.39,0.81,Y,0.297852474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,2,40,66.2,1.211,0.372,,1.583,0.81,N,0.307184145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,3,40,70.0,1.534,0.409,,1.943,0.81,Y,0.266623207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,4,40,61.2,1.113,0.478,,1.591,0.57,N,0.429469901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,5,40,65.1,1.232,0.292,,1.524,0.80,Y,0.237012987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,6,40,56.2,1.06,0.534,,1.594,0.81,N,0.503773585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,7,40,70.6,,,,,0.66,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,8,40,54.6,1.165,0.525,,1.69,0.81,N,0.450643777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
